"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
2.985294628E0,-2.589416504E1,1.090393066E1,4.668273926E1
3.035251903E0,-2.484130859E1,1.064147949E1,4.772033691E1
3.135196972E0,-2.419433594E1,1.199951172E1,4.876251221E1
3.235477733E0,-2.308349609E1,1.336822510E1,4.772186279E1
3.285190868E0,-2.554321289E1,1.224670410E1,4.475402832E1
3.385135936E0,-2.622222900E1,9.999084473E0,4.460296631E1
3.485142040E0,-2.566833496E1,1.313323975E1,4.535064697E1
3.535099315E0,-2.541351318E1,1.150817871E1,4.460296631E1
3.635074901E0,-2.518157959E1,1.404113770E1,4.520111084E1
3.735050487E0,-2.546539307E1,1.462249756E1,4.416503906E1
3.785038280E0,-2.563476562E1,1.417388916E1,4.505462646E1
3.885044384E0,-2.526092529E1,1.166687012E1,4.668273926E1
3.984989452E0,-2.249450684E1,1.249084473E1,4.430084229E1
4.035068798E0,-2.460327148E1,1.316680908E1,4.534759521E1
4.134983349E0,-2.161102295E1,1.177978516E1,4.697265625E1
4.234928417E0,-2.428283691E1,1.377258301E1,4.638824463E1
4.285221386E0,-2.314910889E1,1.128540039E1,4.697723389E1
4.384983349E0,-2.428283691E1,9.022521973E0,4.622955322E1
4.484867382E0,-2.428283691E1,9.022521973E0,4.622955322E1
4.534855175E0,-2.370300293E1,8.151245117E0,4.637451172E1
4.635135936E0,-2.434082031E1,7.241821289E0,4.667205811E1
4.734928417E0,-2.466430664E1,6.637573242E0,4.697265625E1
4.784794140E0,-2.396392822E1,4.882812500E0,4.845275879E1
4.884769725E0,-2.482452393E1,6.488037109E0,4.830627441E1
4.985050487E0,-2.788543701E1,5.796813965E0,4.742279053E1
5.034763622E0,-2.529907227E1,5.726623535E0,4.608001709E1
5.134739208E0,-2.467956543E1,6.193542480E0,4.771270752E1
5.234714794E0,-2.570953369E1,7.199096680E0,4.667663574E1
5.284702587E0,-2.501220703E1,5.293273926E0,4.771118164E1
5.384647655E0,-2.504577637E1,4.252624512E0,4.770965576E1
5.484623241E0,-2.565307617E1,4.383850098E0,4.860382080E1
5.534611034E0,-2.657470703E1,3.906250000E0,4.697265625E1
5.634586620E0,-2.398986816E1,3.988647461E0,4.770812988E1
5.734562206E0,-2.644042969E1,8.218383789E0,4.846343994E1
5.784672069E0,-2.952575684E1,6.632995605E0,4.579467773E1
5.884556102E0,-2.694702148E1,6.416320801E0,4.534149170E1
5.984501171E0,-2.809143066E1,4.006958008E0,4.637908936E1
6.034794140E0,-2.807006836E1,4.600524902E0,4.533996582E1
6.134586620E0,-2.776184082E1,4.911804199E0,4.757080078E1
6.234440136E0,-2.809448242E1,4.010009766E0,4.786529541E1
6.284427929E0,-2.779083252E1,4.019165039E0,4.756927490E1
6.384739208E0,-3.053131104E1,3.781127930E0,4.623718262E1
6.484562206E0,-3.001251221E1,8.255004883E-1,4.385223389E1
6.534366893E0,-3.132019043E1,2.867126465E0,4.579315186E1
6.634342479E0,-2.959289551E1,4.554748535E0,4.608764648E1
6.734653759E0,-3.074035645E1,6.745910645E0,4.668884277E1
6.784305858E0,-3.000793457E1,5.723571777E0,4.445648193E1
6.884281444E0,-3.097076416E1,4.211425781E0,4.505004883E1
6.984257030E0,-2.818298340E1,1.336669922E0,4.905090332E1
7.034275341E0,-2.848205566E1,1.473999023E0,4.801177979E1
7.134220409E0,-2.750854492E1,3.283691406E0,4.682159424E1
7.234195995E0,-2.985992432E1,9.841918945E-1,4.667510986E1
7.284244823E0,-3.027954102E1,2.157592773E0,4.638214111E1
7.384159374E0,-3.078460693E1,5.081176758E-1,4.534149170E1
7.484134960E0,-3.307037354E1,2.868652344E-1,4.475097656E1
7.534244823E0,-3.015899658E1,9.704589844E-1,4.444732666E1
7.634128856E0,-2.891693115E1,1.901245117E0,4.504089355E1
7.734073925E0,-3.002624512E1,5.131530762E0,4.475250244E1
7.784366893E0,-2.911071777E1,5.310058594E0,4.504699707E1
7.884189891E0,-3.078918457E1,5.108642578E0,4.519958496E1
7.984043407E0,-3.007202148E1,3.794860840E0,4.593963623E1
8.034000683E0,-2.963562012E1,3.216552734E0,4.578857422E1
8.134281444E0,-2.671051025E1,4.649353027E0,4.860687256E1
8.234104442E0,-2.560882568E1,5.722045898E0,4.830780029E1
8.283939647E0,-2.743835449E1,5.665588379E0,4.935302734E1
8.383915233E0,-2.649383545E1,6.584167480E0,4.875946045E1
8.484226513E0,-2.373657227E1,7.112121582E0,4.637298584E1
8.533878612E0,-2.312622070E1,7.432556152E0,4.934387207E1
8.633854198E0,-1.925964355E1,9.483337402E0,4.948883057E1
8.733860302E0,-1.775817871E1,1.353607178E1,4.845123291E1
8.783817577E0,-1.802368164E1,1.486511230E1,4.949493408E1
8.883793163E0,-1.149597168E1,1.922302246E1,4.844512939E1
8.983768749E0,-1.208496094E1,1.994934082E1,5.052947998E1
9.033817577E0,-9.919738770E0,2.105560303E1,4.992980957E1
9.133732128E0,-5.426025391E0,1.912078857E1,5.125274658E1
9.233707714E0,-2.645874023E0,2.039489746E1,5.035705566E1
9.283817577E0,-6.466674805E0,1.983184814E1,5.125732422E1
9.383701610E0,-7.301330566E0,1.742706299E1,4.991760254E1
9.483646679E0,-9.370422363E0,1.929168701E1,4.992523193E1
9.533970165E0,-8.584594727E0,2.005767822E1,4.992523193E1
