"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
9.214083715E0,-2.736206055E-1,9.305114746E-1,1.158294678E-1
9.264083715E0,-4.721679688E-1,6.886138916E-1,-4.278411865E-1
9.314083715E0,-4.209899902E-2,8.630371094E-2,-1.926574707E-1
9.364083715E0,-2.131500244E-1,5.493316650E-1,-1.297454834E-1
9.414083715E0,5.195617676E-2,2.518463135E-1,1.280364990E-1
9.464083715E0,4.160461426E-1,3.459167480E-1,-1.123046875E-2
9.514083715E0,8.173828125E-1,3.315734863E-2,2.166137695E-1
9.564083715E0,4.893493652E-1,-8.900451660E-2,-1.187438965E-1
9.614083715E0,2.773742676E-1,-2.050781250E-1,-4.666137695E-2
9.664083715E0,2.813720703E-2,-1.873626709E-1,-6.315612793E-2
9.714083715E0,2.895965576E-1,8.712615967E-1,1.616363525E-1
9.764083715E0,4.951477051E-2,-2.704315186E-1,9.077453613E-2
9.814083715E0,2.264404297E-2,-7.860260010E-1,-2.812347412E-1
9.864083715E0,-4.324493408E-1,3.398132324E-1,1.433105469E-1
9.914083715E0,-8.059692383E-2,4.719543457E-2,1.341552734E-1
9.964083715E0,2.810363770E-1,-1.549835205E-1,4.298095703E-1
1.001408372E1,3.109741211E-1,-3.052673340E-1,2.447204590E-1
1.006408372E1,3.256225586E-1,-3.968963623E-1,1.262054443E-1
1.011408372E1,1.692504883E-1,1.058502197E-1,5.961608887E-2
1.016408372E1,3.485107422E-2,-1.519317627E-1,-1.535644531E-1
1.021408372E1,3.036346436E-1,7.835388184E-2,1.378173828E-1
1.026408372E1,-5.371093750E-2,-5.725097656E-2,-1.883850098E-1
1.031408372E1,-2.467498779E-1,2.337646484E-2,-7.809295654E-1
1.036408372E1,-2.907257080E-1,3.782958984E-1,1.017761230E-1
1.041408372E1,-4.275665283E-1,2.487792969E-1,-6.958007812E-3
1.046408372E1,1.063232422E-1,-3.052673340E-1,-4.971313477E-2
1.051408372E1,-8.514404297E-3,4.210510254E-1,2.630462646E-1
1.056408372E1,2.822570801E-1,-3.022003174E-1,6.484985352E-3
1.061408372E1,3.610687256E-1,-7.862854004E-2,2.373809814E-1
1.066408372E1,-2.561950684E-2,3.131103516E-2,-1.138610840E-1
1.071408372E1,8.118743896E-1,4.033355713E-1,5.104522705E-1
1.076408372E1,1.130523682E-1,8.456115723E-1,9.199523926E-2
1.081408372E1,-1.300659180E-1,-3.003845215E-1,-2.726745605E-1
1.086408372E1,-6.309814453E-1,8.567810059E-2,-1.957092285E-1
1.091408372E1,-4.831542969E-1,3.019409180E-1,2.599792480E-1
1.096408372E1,8.494567871E-2,-4.659271240E-1,2.526550293E-1
1.101408372E1,3.653411865E-1,-4.714965820E-3,4.682922363E-1
1.106408372E1,2.449951172E-1,-6.152343750E-2,3.518676758E-2
1.111408372E1,2.071228027E-1,-2.637329102E-1,8.955383301E-2
1.116408372E1,1.087646484E-1,-2.075195312E-1,-9.187316895E-2
1.121408372E1,2.187347412E-1,4.845886230E-1,9.872436523E-2
1.126408372E1,-4.171752930E-1,-2.734985352E-1,-3.258361816E-1
1.131408372E1,-3.237152100E-1,2.032470703E-2,-6.520385742E-1
1.136408372E1,-4.733886719E-1,2.219085693E-1,1.127624512E-1
1.141408372E1,-1.960449219E-1,2.581787109E-2,2.288360596E-1
1.146408372E1,2.468261719E-1,1.626586914E-1,2.166137695E-1
