"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
7.727945686E1,-1.616668701E1,2.612609863E1,4.696960449E1
7.731052376E1,-1.629333496E1,2.701416016E1,4.860687256E1
7.737934090E1,-1.506042480E1,2.749633789E1,4.741668701E1
7.747934700E1,-1.700744629E1,2.832489014E1,4.653015137E1
7.752918221E1,-1.566925049E1,2.732543945E1,4.608001709E1
7.756052376E1,-1.567382812E1,2.732849121E1,4.801177979E1
7.762912727E1,-1.503448486E1,2.823791504E1,4.697113037E1
7.772910286E1,-1.343231201E1,2.606353760E1,4.651641846E1
7.777939583E1,-1.308593750E1,2.740936279E1,4.726257324E1
7.781052376E1,-1.297302246E1,2.622680664E1,4.740905762E1
7.787927986E1,-1.265106201E1,2.667999268E1,4.696197510E1
7.797907234E1,-1.409454346E1,2.456054688E1,4.889526367E1
7.802933479E1,-1.549987793E1,2.347869873E1,4.949035645E1
7.806052376E1,-1.597137451E1,2.286834717E1,4.889678955E1
7.812912727E1,-1.451110840E1,2.113800049E1,5.022583008E1
7.822904183E1,-1.764678955E1,2.281646729E1,4.890136719E1
7.827896858E1,-1.595001221E1,2.346343994E1,4.815368652E1
7.831052376E1,-1.593627930E1,2.390747070E1,4.770812988E1
7.837958504E1,-1.384124756E1,2.323760986E1,5.245666504E1
7.847904183E1,-1.232604980E1,2.298736572E1,5.141296387E1
7.852890755E1,-1.519775391E1,2.348937988E1,5.068054199E1
7.856052376E1,-1.679229736E1,2.566223145E1,4.860382080E1
7.862888313E1,-1.697387695E1,2.476654053E1,4.815826416E1
7.872919441E1,-1.494598389E1,2.631225586E1,4.726562500E1
7.877884651E1,-1.617736816E1,2.583007812E1,4.741516113E1
7.881052376E1,-1.428527832E1,2.796630859E1,4.771118164E1
7.887882210E1,-1.581878662E1,2.747192383E1,4.667358398E1
7.897882820E1,-1.545715332E1,2.481536865E1,4.949188232E1
7.902878548E1,-1.740112305E1,2.564239502E1,4.801177979E1
7.906052376E1,-1.829681396E1,2.605895996E1,4.697570801E1
7.912876106E1,-2.015838623E1,2.511444092E1,4.950561523E1
7.922873665E1,-1.918029785E1,2.692108154E1,4.653320312E1
7.927878548E1,-1.646118164E1,2.656402588E1,4.845733643E1
7.931052376E1,-1.620330811E1,2.968444824E1,4.653167725E1
7.937873055E1,-1.532135010E1,2.882232666E1,4.697265625E1
7.947867561E1,-1.597747803E1,2.731933594E1,4.756622314E1
7.952881600E1,-1.476135254E1,2.720794678E1,4.637451172E1
7.956052376E1,-1.522674561E1,2.704620361E1,4.801025391E1
7.962866951E1,-1.573638916E1,2.539825439E1,4.830627441E1
7.972861458E1,-9.809875488E0,2.543640137E1,4.947967529E1
7.977893806E1,-1.188354492E1,2.700195312E1,4.740600586E1
7.981052376E1,-8.810424805E0,2.798767090E1,4.754791260E1
7.987876106E1,-1.205139160E1,2.640075684E1,4.606933594E1
7.997855354E1,-1.137847900E1,2.375335693E1,4.754791260E1
8.002854134E1,-1.184844971E1,2.344512939E1,4.933166504E1
8.006052376E1,-1.100769043E1,2.584075928E1,4.755096436E1
8.012885262E1,-1.124725342E1,2.331390381E1,4.947814941E1
8.022864510E1,-1.264495850E1,2.697906494E1,4.815063477E1
8.027848030E1,-1.189117432E1,2.670440674E1,4.666137695E1
8.031052376E1,-1.097412109E1,2.688140869E1,4.725646973E1
8.037848640E1,-1.329650879E1,2.562255859E1,4.770507812E1
8.047876717E1,-9.637451172E0,2.588500977E1,4.754791260E1
8.052841927E1,-1.059875488E1,2.467346191E1,5.066986084E1
8.056052376E1,-7.952880859E0,2.638549805E1,4.813842773E1
8.062839485E1,-9.332275391E0,2.604522705E1,4.843750000E1
8.072837044E1,-1.019744873E1,2.750091553E1,4.859161377E1
8.077835823E1,-1.192779541E1,2.566528320E1,4.770050049E1
8.081052376E1,-1.065826416E1,2.718811035E1,4.680938721E1
8.087833382E1,-1.131134033E1,2.583160400E1,4.755096436E1
8.097833992E1,-1.501007080E1,2.438201904E1,4.859771729E1
8.102829720E1,-1.352386475E1,2.339324951E1,4.903869629E1
8.106052376E1,-1.442871094E1,2.351074219E1,4.814910889E1
8.112827278E1,-1.399841309E1,2.278289795E1,4.933776855E1
8.122824837E1,-1.300964355E1,2.533874512E1,5.067749023E1
8.127841927E1,-1.450195312E1,2.603302002E1,4.830322266E1
8.131052376E1,-1.492004395E1,2.705383301E1,4.682006836E1
8.137824226E1,-1.476898193E1,2.721099854E1,4.890136719E1
8.147818733E1,-1.611633301E1,2.791290283E1,4.949951172E1
8.152854134E1,-1.696166992E1,2.521362305E1,4.920196533E1
8.156052376E1,-1.604309082E1,2.539062500E1,4.904937744E1
8.162827278E1,-1.738891602E1,2.624206543E1,5.009307861E1
8.172818733E1,-1.579589844E1,2.821655273E1,4.741973877E1
8.177814461E1,-1.471710205E1,2.884521484E1,4.890441895E1
