Compressive displacement,Primary force measurement,Time measurement
(mm),(kN),(s)
"0.25131","3.16935","5.06000"
"0.25210","3.18681","5.08000"
"0.25311","3.20245","5.10000"
"0.25436","3.22113","5.12000"
"0.25563","3.24477","5.14000"
"0.25651","3.26945","5.16000"
"0.25728","3.28854","5.18000"
"0.25827","3.30420","5.20000"
"0.25938","3.32184","5.22000"
"0.26049","3.34236","5.24000"
"0.26139","3.36399","5.26000"
"0.26212","3.38227","5.28000"
"0.26307","3.39745","5.30000"
"0.26430","3.41486","5.32000"
"0.26562","3.43809","5.34000"
"0.26659","3.46377","5.36000"
"0.26732","3.48469","5.38000"
"0.26825","3.50035","5.40000"
"0.26935","3.51698","5.42000"
"0.27045","3.53681","5.44000"
"0.27139","3.55813","5.46000"
"0.27213","3.57754","5.48000"
"0.27299","3.59329","5.50000"
"0.27416","3.60980","5.52000"
"0.27552","3.63163","5.54000"
"0.27668","3.65815","5.56000"
"0.27748","3.68214","5.58000"
"0.27836","3.70013","5.60000"
"0.27939","3.71690","5.62000"
"0.28044","3.73587","5.64000"
"0.28141","3.75661","5.66000"
"0.28215","3.77571","5.68000"
"0.28295","3.79120","5.70000"
"0.28406","3.80723","5.72000"
"0.28541","3.82799","5.74000"
"0.28669","3.85431","5.76000"
"0.28754","3.88034","5.78000"
"0.28836","3.90009","5.80000"
"0.28935","3.91671","5.82000"
"0.29038","3.93480","5.84000"
"0.29142","3.95511","5.86000"
"0.29225","3.97592","5.88000"
"0.29301","3.99343","5.90000"
"0.29403","4.00900","5.92000"
"0.29534","4.02845","5.94000"
"0.29668","4.05396","5.96000"
"0.29757","4.08117","5.98000"
"0.29833","4.10207","6.00000"
"0.29930","4.11856","6.02000"
"0.30036","4.13655","6.04000"
"0.30144","4.15711","6.06000"
"0.30233","4.17893","6.08000"
"0.30308","4.19765","6.10000"
"0.30406","4.21345","6.12000"
"0.30534","4.23217","6.14000"
"0.30667","4.25698","6.16000"
"0.30759","4.28436","6.18000"
"0.30832","4.30564","6.20000"
"0.30926","4.32162","6.22000"
"0.31032","4.33898","6.24000"
"0.31141","4.35959","6.26000"
"0.31236","4.38145","6.28000"
"0.31312","4.40121","6.30000"
"0.31405","4.41766","6.32000"
"0.31526","4.43565","6.34000"
"0.31660","4.45943","6.36000"
"0.31764","4.48698","6.38000"
"0.31839","4.51036","6.40000"
"0.31931","4.52760","6.42000"
"0.32038","4.54506","6.44000"
"0.32145","4.56543","6.46000"
