"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.509979739E0,-6.700134277E-2,5.814514160E-1,1.354098511E1
5.559979739E0,-5.288085938E-1,1.725219727E0,1.091366577E1
5.609979739E0,1.124633789E0,2.751770020E-1,1.189233398E1
5.659979739E0,-8.781585693E-1,-3.588867188E-2,1.066720581E1
5.709979739E0,6.293182373E-1,4.139556885E-1,7.941772461E0
5.759979739E0,-8.853149414E-2,8.542327881E-1,7.984848022E0
5.809979739E0,-6.676025391E-1,1.320831299E0,6.632904053E0
5.859979739E0,-6.484527588E-1,1.292129517E0,8.492126465E0
5.909979739E0,4.139556885E-1,1.844863892E0,9.896713257E0
5.959979739E0,-5.766754150E-1,8.853454590E-1,1.166261292E1
6.009979739E0,-1.627044678E-1,1.435852051E-2,1.584767151E1
6.059979739E0,9.451599121E-1,-1.531372070E-1,1.055712891E1
6.109979739E0,-2.021942139E0,-1.287338257E0,1.284706116E1
6.159979739E0,-4.283142090E-1,-2.153472900E-1,8.803192139E0
6.209979739E0,-1.268157959E-1,2.201385498E-1,7.939392090E0
6.259979739E0,-6.652069092E-1,5.072784424E-1,7.769500732E0
6.309979739E0,7.656860352E-2,1.287338257E0,7.860427856E0
6.359979739E0,-6.915283203E-1,1.624725342E0,1.002592468E1
6.409979739E0,-7.896423340E-2,1.385437012E0,1.051406860E1
6.459979739E0,1.962127686E-1,5.503540039E-1,1.170089722E1
6.509979739E0,-4.953155518E-1,-1.148529053E-1,1.361755371E1
6.559979739E0,1.052841187E0,3.780670166E-1,1.028195190E1
6.609979739E0,-3.445739746E-1,-6.173553467E-1,1.191146851E1
6.659979739E0,8.231353760E-1,1.842498779E-1,7.953735352E0
6.709979739E0,-2.991027832E-1,-1.052856445E-1,9.827316284E0
6.759979739E0,-5.144500732E-1,5.072784424E-1,7.941772461E0
6.809979739E0,-2.416687012E-1,1.383056641E0,7.427322388E0
6.859979739E0,-2.608184814E-1,1.241882324E0,8.425125122E0
6.909979739E0,2.464599609E-1,1.694122314E0,1.054995728E1
6.959979739E0,-6.006011963E-1,8.733825684E-1,1.256471252E1
7.009979739E0,7.800598145E-1,1.091125488E0,1.298345947E1
7.059979739E0,-1.378265381E0,1.100692749E0,9.233901978E0
7.109979739E0,4.331054688E-1,6.460571289E-2,1.190907288E1
