"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.576109619E0,-4.737854004E-1,2.696716309E0,1.033459473E1
7.626109619E0,-5.264282227E-1,1.993225098E0,1.146640015E1
7.676109619E0,1.196441650E-1,2.067398071E0,1.195693970E1
7.726109619E0,-2.440643311E-1,1.942977905E0,1.108355713E1
7.776109619E0,6.699829102E-1,2.117645264E0,1.203590393E1
7.826109619E0,-6.532440186E-1,4.833526611E-1,9.875183105E0
7.876109619E0,5.192413330E-1,1.485946655E0,8.494522095E0
7.926109619E0,-2.847442627E-1,1.701293945E0,7.891525269E0
7.976109619E0,1.627044678E-1,2.287536621E0,6.056228638E0
8.026109619E0,-9.475555420E-1,2.124832153E0,7.963317871E0
8.076109619E0,7.441711426E-1,2.754135132E0,9.619140625E0
8.126109619E0,-3.708801270E-1,2.557922363E0,1.132522583E1
8.176109619E0,6.101684570E-1,2.407180786E0,1.239002991E1
8.226109619E0,2.153015137E-2,2.830703735E0,1.217228699E1
8.276109619E0,-4.905242920E-1,1.208374023E0,1.301934814E1
8.326109619E0,-7.346038818E-1,1.409378052E0,8.518447876E0
8.376109619E0,-5.216369629E-1,1.002593994E0,1.069352722E1
8.426109619E0,-9.567260742E-3,1.706085205E0,7.046859741E0
8.476109619E0,-3.732757568E-1,1.794616699E0,6.867401123E0
8.526109619E0,-1.866455078E-1,1.935791016E0,8.705093384E0
8.576109619E0,4.331054688E-1,2.723037720E0,9.224334717E0
8.626109619E0,-1.191619873E0,1.641479492E0,1.074856567E1
8.676109619E0,6.101684570E-1,1.926223755E0,1.088734436E1
8.726109619E0,-7.728881836E-1,1.820938110E0,1.243070984E1
8.776109619E0,-1.794586182E-1,1.086334229E0,1.314376831E1
8.826109619E0,-6.149597168E-1,-9.092712402E-2,1.225604248E1
8.876109619E0,1.299301147E0,1.071990967E0,8.233703613E0
8.926109619E0,-8.853149414E-2,1.371093750E0,9.633499146E0
8.976109619E0,-7.177734375E-2,2.134399414E0,5.862411499E0
9.026109619E0,-1.579269409E0,1.808975220E0,7.960922241E0
9.076109619E0,-2.368927002E-1,2.048263550E0,8.781661987E0
9.126109619E0,-5.216369629E-1,1.725219727E0,1.235174561E1
9.176109619E0,5.407714844E-1,1.950149536E0,1.177029419E1
9.226109619E0,-1.648651123E0,2.005187988E0,1.105244446E1
9.276109619E0,-2.512512207E-1,1.244262695E0,1.327059937E1
9.326109619E0,-1.296905518E0,5.862426758E-1,9.291336060E0
9.376109619E0,-2.560272217E-1,9.140625000E-1,1.049252319E1
9.426109619E0,-2.871704102E-2,1.095916748E0,7.599609375E0
9.476109619E0,-6.508483887E-1,1.574478149E0,7.264602661E0
9.526109619E0,-8.638153076E-1,1.560119629E0,7.556533813E0
9.576109619E0,-5.001068115E-1,2.356933594E0,9.430114746E0
9.626109619E0,-1.258621216E0,1.734802246E0,1.101416016E1
9.676109619E0,-1.268157959E-1,2.182250977E0,1.168893433E1
9.726109619E0,-1.359130859E0,1.914260864E0,1.285185242E1
9.776109619E0,1.627120972E0,1.773086548E0,1.149034119E1
9.826109619E0,-1.007385254E0,-5.168457031E-1,1.068634033E1
9.876109619E0,1.086334229E0,7.202453613E-1,9.001800537E0
9.926109619E0,7.656860352E-2,1.189239502E0,7.994415283E0
9.976109619E0,7.896423340E-2,2.045867920E0,6.185440063E0
1.002610962E1,-1.428512573E0,1.914260864E0,8.532806396E0
1.007610962E1,-2.416687012E-1,2.404785156E0,8.989837646E0
1.012610962E1,-3.086700439E-1,2.514862061E0,1.102851868E1
1.017610962E1,6.006011963E-1,2.325820923E0,1.257667542E1
1.022610962E1,1.363983154E-1,3.170486450E0,1.200718689E1
1.027610962E1,2.153472900E-1,1.607971191E0,1.272981262E1
1.032610962E1,-4.307098389E-1,1.373474121E0,1.107398987E1
1.037610962E1,-4.355010986E-1,7.728881836E-1,1.010968018E1
1.042610962E1,-3.661041260E-1,7.274169922E-1,8.611770630E0
1.047610962E1,-2.512512207E-1,1.672576904E0,6.898513794E0
1.052610962E1,-8.638153076E-1,1.990829468E0,7.255035400E0
1.057610962E1,-1.459655762E-1,2.725418091E0,8.429916382E0
1.062610962E1,-1.899902344E0,2.024322510E0,1.072941589E1
1.067610962E1,2.297058105E-1,2.026718140E0,1.146401978E1
1.072610962E1,-1.311264038E0,1.730010986E0,1.265324402E1
1.077610962E1,8.327026367E-1,1.263412476E0,1.124626160E1
1.082610962E1,-4.426727295E-1,5.407714844E-1,1.127258301E1
1.087610962E1,4.211425781E-1,1.423736572E0,8.250457764E0
1.092610962E1,9.809875488E-2,1.639083862E0,7.932205200E0
1.097610962E1,-9.308013916E-1,2.108078003E0,6.467803955E0
1.102610962E1,-1.416549683E0,2.153533936E0,7.841278076E0
1.107610962E1,-5.742797852E-1,2.299499512E0,1.031785583E1
1.112610962E1,-6.986999512E-1,2.768493652E0,1.159083557E1
1.117610962E1,-2.967071533E-1,2.285140991E0,1.188514709E1
1.122610962E1,5.503845215E-2,2.667999268E0,1.182054138E1
1.127610962E1,1.866455078E-1,8.207397461E-1,1.336869812E1
1.132610962E1,-1.351943970E0,8.494567871E-1,7.702499390E0
1.137610962E1,-9.858398438E-1,1.129409790E0,9.822540283E0
1.142610962E1,-1.340026855E-1,1.495513916E0,7.975280762E0
1.147610962E1,-4.307556152E-2,1.770690918E0,7.070785522E0
1.152610962E1,-5.024871826E-1,2.115249634E0,8.231307983E0
1.157610962E1,-3.852386475E-1,3.005386353E0,9.427719116E0
1.162610962E1,-7.561340332E-1,2.440673828E0,1.124626160E1
1.167610962E1,7.680969238E-1,2.249252319E0,1.098783875E1
1.172610962E1,-5.862426758E-1,2.117645264E0,1.135873413E1
1.177610962E1,4.905242920E-1,9.140625000E-1,1.378984070E1
1.182610962E1,-6.245269775E-1,9.379882812E-1,1.036331177E1
1.187610962E1,1.435699463E-1,1.423736572E0,1.035853577E1
1.192610962E1,-2.895355225E-1,2.282745361E0,6.396011353E0
1.197610962E1,-9.379882812E-1,2.572280884E0,6.082550049E0
1.202610962E1,-1.004989624E0,2.232498169E0,8.013565063E0
1.207610962E1,4.355010986E-1,3.017349243E0,8.925231934E0
1.212610962E1,-2.368927002E-1,2.732604980E0,1.081555176E1
1.217610962E1,6.340942383E-1,2.842666626E0,1.140898132E1
1.222610962E1,-6.388854980E-1,3.223129272E0,1.149272156E1
1.227610962E1,-3.230285645E-1,1.464401245E0,1.362712097E1
1.232610962E1,-1.284942627E0,4.019927979E-1,1.024366760E1
1.237610962E1,-6.460571289E-2,8.973083496E-1,9.528213501E0
1.242610962E1,-2.727813721E-1,1.186843872E0,7.630706787E0
1.247610962E1,-6.867370605E-1,1.935791016E0,6.728622437E0
1.252610962E1,-4.689941406E-1,2.045867920E0,8.240875244E0
1.257610962E1,7.369842529E-1,2.708679199E0,9.466003418E0
1.262610962E1,-5.312042236E-1,1.591232300E0,1.157647705E1
1.267610962E1,9.786682129E-1,1.986038208E0,1.057627869E1
1.272610962E1,-1.483612061E-1,1.753936768E0,1.249531555E1
1.277610962E1,1.399795532E0,1.397415161E0,1.140898132E1
1.282610962E1,-5.718841553E-1,-3.684997559E-1,1.191146851E1
1.287610962E1,-1.818542480E-1,6.723785400E-1,9.406188965E0
1.292610962E1,5.264282227E-2,1.864013672E0,8.126022339E0
1.297610962E1,-6.269226074E-1,2.120040894E0,6.082550049E0
1.302610962E1,-8.494567871E-1,2.055435181E0,7.791030884E0
1.307610962E1,4.522399902E-1,2.249252319E0,9.446868896E0
1.312610962E1,-2.368927002E-1,2.055435181E0,1.188993835E1
1.317610962E1,7.441711426E-1,1.856826782E0,1.242114258E1
1.322610962E1,1.105484009E0,2.373687744E0,1.232304382E1
1.327610962E1,1.500305176E0,1.146163940E0,1.236370850E1
1.332610962E1,-6.986999512E-1,6.867370605E-1,8.312667847E0
1.337610962E1,-8.135528564E-1,4.211425781E-1,9.872787476E0
1.342610962E1,-3.110656738E-1,1.158126831E0,7.513458252E0
1.347610962E1,-5.335998535E-1,1.622329712E0,6.766906738E0
1.352610962E1,-5.862426758E-1,2.356933594E0,7.585250854E0
1.357610962E1,-2.679901123E-1,2.572280884E0,8.805587769E0
1.362610962E1,-6.771697998E-1,2.170288086E0,1.082273865E1
1.367610962E1,8.470611572E-1,1.804183960E0,1.168415833E1
1.372610962E1,2.297058105E-1,1.854431152E0,1.244267273E1
1.377610962E1,2.153533936E0,1.454833984E0,1.284706116E1
1.382610962E1,4.139556885E-1,-9.809875488E-2,1.421336365E1
1.387610962E1,1.667800903E0,4.498443604E-1,9.714859009E0
1.392610962E1,1.134201050E0,9.260253906E-1,8.678771973E0
1.397610962E1,3.421783447E-1,1.842468262E0,5.553741455E0
1.402610962E1,-5.934143066E-1,1.801788330E0,7.546966553E0
1.407610962E1,2.703857422E-1,1.938186646E0,8.652450562E0
1.412610962E1,-5.575256348E-1,1.993225098E0,1.044946289E1
1.417610962E1,-5.670928955E-1,1.854431152E0,1.225364685E1
