"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
3.726616256E0,2.890014648E0,-1.432800293E1,4.392395020E1
3.776298873E0,3.955078125E0,-1.429443359E1,4.362487793E1
3.876579635E0,1.461791992E0,-1.615295410E1,4.467010498E1
3.926567428E0,1.808166504E0,-1.480560303E1,4.511413574E1
3.976555221E0,2.819824219E0,-1.640472412E1,4.585418701E1
4.026298873E0,2.850341797E0,-1.536254883E1,4.615325928E1
4.126518600E0,1.930236816E0,-1.553802490E1,4.749298096E1
4.176506393E0,2.651977539E0,-1.655273438E1,4.956970215E1
4.226494186E0,-1.582336426E0,-1.609497070E1,4.675750732E1
4.276298873E0,-1.815795898E0,-1.862792969E1,4.660491943E1
4.376457565E0,-5.889892578E-1,-1.828918457E1,4.704742432E1
4.426475875E0,-1.637268066E0,-1.772766113E1,4.779510498E1
4.476433151E0,-3.018188477E0,-1.806488037E1,4.824371338E1
4.526298873E0,-2.944946289E0,-1.568603516E1,4.928894043E1
4.626427047E0,-4.447937012E0,-1.514129639E1,4.959106445E1
4.676384323E0,-1.737976074E0,-1.594543457E1,4.972991943E1
4.726372115E0,-5.505371094E0,-1.487579346E1,5.033569336E1
4.776298873E0,-3.677368164E0,-1.481933594E1,5.003509521E1
4.876335494E0,-6.350708008E0,-1.267242432E1,5.167999268E1
4.926353805E0,-7.853698730E0,-1.212768555E1,5.138702393E1
4.976311080E0,-8.486938477E0,-1.304016113E1,5.049438477E1
5.026298873E0,-9.042358398E0,-1.142272949E1,5.049896240E1
5.126274459E0,-1.050872803E1,-9.689331055E0,5.021057129E1
5.176292770E0,-1.365814209E1,-8.454895020E0,4.873352051E1
5.226250045E0,-1.392059326E1,-7.124328613E0,4.977874756E1
5.276298873E0,-1.293029785E1,-4.570007324E0,5.037231445E1
5.376213424E0,-1.442565918E1,-3.721618652E0,5.186462402E1
5.426201217E0,-1.486816406E1,-3.443908691E0,5.023193359E1
5.476219528E0,-1.758422852E1,-2.786254883E0,5.038909912E1
5.526298873E0,-1.738433838E1,-1.295471191E0,4.979705811E1
5.626152389E0,-1.516571045E1,1.596069336E0,5.128173828E1
5.676140182E0,-1.408843994E1,1.924133301E0,4.979400635E1
5.726127975E0,-1.605072021E1,2.305603027E0,4.965209961E1
5.776298873E0,-1.606445312E1,2.012634277E0,5.113830566E1
5.876091354E0,-1.530609131E1,2.037048340E0,5.143127441E1
5.926079147E0,-1.668853760E1,1.701354980E0,5.336761475E1
5.976097457E0,-1.606597900E1,2.012634277E0,5.143432617E1
6.026298873E0,-1.541900635E1,3.221130371E0,5.098876953E1
6.126030319E0,-1.327514648E1,3.582763672E0,4.979553223E1
6.176018112E0,-1.465301514E1,3.242492676E0,4.979705811E1
6.226005905E0,-1.459655762E1,4.873657227E0,4.846191406E1
6.276298873E0,-1.719665527E1,4.495239258E0,4.846954346E1
6.375969283E0,-1.233825684E1,4.202270508E0,4.830780029E1
6.425957076E0,-1.296844482E1,3.590393066E0,4.920196533E1
6.475944869E0,-1.522827148E1,4.110717773E0,4.757080078E1
