"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
8.116612806E1,-2.777557373E-1,1.613464355E-1,-5.431671143E-1
8.121612806E1,-1.360168457E-1,7.215881348E-2,-1.656341553E-1
8.126612806E1,-4.677276611E-1,-1.141510010E-1,8.358764648E-2
8.131612806E1,-1.085357666E-1,-1.489715576E-1,4.142761230E-2
8.136612806E1,6.372070312E-2,2.114257812E-1,6.526184082E-2
8.141612806E1,-1.995849609E-2,-2.827606201E-1,1.776580811E-1
8.146612806E1,2.219390869E-1,-3.719329834E-1,2.295837402E-1
8.151612806E1,9.364318848E-2,3.659820557E-1,2.894439697E-1
8.156612806E1,2.384185791E-1,1.326293945E-1,4.146728516E-1
8.161612806E1,9.548950195E-2,1.444778442E0,4.873809814E-1
8.166612806E1,8.815002441E-2,-7.427368164E-1,4.061279297E-1
8.171612806E1,-2.478179932E-1,-1.000976562E-1,5.179138184E-1
8.176612806E1,-2.783508301E-1,6.910705566E-2,4.142761230E-2
8.181612806E1,9.608459473E-2,6.848144531E-2,1.165618896E-1
8.186612806E1,-6.394958496E-2,-5.123901367E-2,1.446685791E-1
8.191612806E1,1.547393799E-1,-4.678497314E-1,2.240905762E-1
8.196612806E1,-5.294799805E-2,-1.043701172E-1,6.404113770E-2
8.201612806E1,8.937072754E-2,-2.557373047E-2,1.013031006E-1
8.206612806E1,-8.105468750E-2,-4.695129395E-2,-1.534271240E-1
8.211612806E1,-1.030426025E-1,2.132720947E-1,-7.217407227E-2
8.216612806E1,-1.427459717E-1,-1.275939941E-1,-2.902679443E-1
8.221612806E1,-1.653442383E-1,1.130828857E-1,2.680664062E-1
8.226612806E1,-3.205108643E-1,-2.717590332E-1,-1.125030518E-1
8.231612806E1,1.077117920E-1,1.265106201E-1,-1.125030518E-1
8.236612806E1,-5.233764648E-2,3.183441162E-1,3.898620605E-2
8.241612806E1,2.286529541E-1,-2.619781494E-1,6.282043457E-2
8.246612806E1,2.573699951E-1,2.358703613E-1,9.947204590E-2
8.251612806E1,2.194976807E-1,1.643981934E-1,1.825408936E-1
8.256612806E1,3.129577637E-1,2.114257812E-1,2.088165283E-1
8.261612806E1,-7.127380371E-2,9.340972900E-1,3.786315918E-1
8.266612806E1,1.877288818E-1,-5.723114014E-1,1.184082031E-1
8.271612806E1,-1.732940674E-1,1.204071045E-1,2.289733887E-1
8.276612806E1,-3.058471680E-1,-3.352813721E-1,7.075500488E-2
8.281612806E1,-9.204101562E-2,-7.749938965E-2,1.318511963E-1
8.286612806E1,1.118469238E-2,-7.444763184E-2,1.165618896E-1
8.291612806E1,2.402648926E-1,-4.183654785E-1,4.571533203E-2
8.296612806E1,-8.654785156E-2,-9.399414062E-2,-1.607513428E-1
8.301612806E1,1.626892090E-1,-9.277343750E-2,-3.079681396E-1
8.306612806E1,-1.152496338E-1,1.045227051E-1,-3.421783447E-1
8.311612806E1,-1.897888184E-1,3.060913086E-2,-3.623352051E-1
8.316612806E1,-2.698059082E-1,-9.460449219E-2,-6.030273438E-1
8.321612806E1,8.326721191E-2,1.961669922E-1,1.685028076E-1
8.326612806E1,-2.166595459E-1,-2.618408203E-2,-1.564788818E-1
8.331612806E1,-1.325988770E-2,1.961669922E-1,-2.419891357E-1
8.336612806E1,4.966735840E-2,1.442413330E-1,6.648254395E-2
8.341612806E1,7.838439941E-2,-1.593475342E-1,2.271423340E-1
8.346612806E1,2.457580566E-1,5.322265625E-2,3.444213867E-1
8.351612806E1,8.326721191E-2,-7.858276367E-3,1.123046875E-1
8.356612806E1,3.801574707E-1,4.826660156E-1,2.326354980E-1
8.361612806E1,-5.294799805E-2,1.635986328E0,3.438110352E-1
8.366612806E1,2.830200195E-1,-8.447570801E-1,7.624816895E-2
8.371612806E1,-2.117767334E-1,-3.798828125E-1,-1.173858643E-1
8.376612806E1,-1.818389893E-1,1.882171631E-1,-3.519592285E-1
8.381612806E1,-1.580200195E-1,-3.535461426E-2,3.532409668E-2
8.386612806E1,1.675720215E-1,-5.368041992E-2,5.731201172E-2
8.391612806E1,1.272583008E-1,-1.947937012E-1,9.674072266E-3
8.396612806E1,5.516052246E-2,-3.811035156E-1,2.188110352E-2
8.401612806E1,-1.448059082E-2,-2.002868652E-1,-3.918457031E-2
8.406612806E1,5.149841309E-2,2.254791260E-1,1.091003418E-2
8.411612806E1,-4.390106201E-1,-2.363281250E-1,-1.369323730E-1
8.416612806E1,2.828979492E-2,-5.856323242E-2,-1.167602539E-1
8.421612806E1,-1.390838623E-1,6.518707275E-1,3.572540283E-1
8.426612806E1,-3.858795166E-1,-1.641845703E-2,-9.155273438E-5
8.431612806E1,8.021545410E-2,-3.988189697E-1,-3.552246094E-2
8.436612806E1,-9.265136719E-2,3.372650146E-1,1.348876953E-1
8.441612806E1,2.933959961E-1,-1.453094482E-1,2.418060303E-1
8.446612806E1,1.272583008E-1,3.220062256E-1,2.717285156E-1
8.451612806E1,2.359771729E-1,-1.251373291E-1,1.318511963E-1
8.456612806E1,2.549285889E-1,4.606781006E-1,-3.430175781E-2
8.461612806E1,-3.760986328E-1,-1.191726685E0,-2.566528320E-1
8.466612806E1,-1.037597656E-3,4.093627930E-1,-1.039428711E-1
8.471612806E1,-5.630187988E-1,-6.254425049E-1,-1.680908203E-1
8.476612806E1,2.767944336E-2,1.118621826E-1,6.221008301E-2
8.481612806E1,1.545715332E-2,7.582092285E-2,1.758270264E-1
8.486612806E1,2.750701904E-1,-5.124359131E-1,3.706970215E-1
8.491612806E1,2.072753906E-1,9.536743164E-2,-9.295654297E-2
8.496612806E1,1.272583008E-1,2.132720947E-1,1.701354980E-2
8.501612806E1,9.730529785E-2,-2.509918213E-1,-7.339477539E-2
8.506612806E1,3.927612305E-2,3.513183594E-1,-1.179962158E-1
8.511612806E1,-8.281402588E-1,-8.093261719E-1,-6.519012451E-1
8.516612806E1,3.300628662E-1,7.838134766E-1,9.457397461E-2
8.521612806E1,-1.989440918E-1,3.152770996E-1,3.471374512E-2
8.526612806E1,4.137420654E-1,2.694702148E-2,-1.155395508E-1
8.531612806E1,5.149841309E-2,5.229797363E-1,-1.564788818E-1
8.536612806E1,1.064758301E-1,-2.601470947E-1,1.446685791E-1
8.541612806E1,3.905334473E-1,-1.782989502E-1,2.454681396E-1
8.546612806E1,5.149841309E-2,4.026336670E-1,4.632568359E-2
8.551612806E1,2.133789062E-1,2.425842285E-1,1.923217773E-1
8.556612806E1,-1.470184326E-1,7.153930664E-1,1.159667969E-1
8.561612806E1,1.205291748E-1,-9.302825928E-1,-3.269195557E-1
8.566612806E1,-3.883209229E-1,2.938842773E-2,-1.558685303E-1
8.571612806E1,-2.337646484E-1,-2.625885010E-1,-1.351013184E-1
8.576612806E1,-3.157043457E-2,-5.576477051E-1,1.342926025E-1
8.581612806E1,-4.272460938E-4,-1.343078613E-1,8.663940430E-2
8.586612806E1,2.152099609E-1,-1.581268311E-1,2.216339111E-1
8.591612806E1,1.541290283E-1,-9.460449219E-2,-3.491210938E-2
8.596612806E1,1.302947998E-1,-2.076110840E-1,-1.357116699E-1
8.601612806E1,-4.074096680E-2,1.014709473E-1,-2.920837402E-1
8.606612806E1,-2.838592529E-1,2.199859619E-1,-2.731628418E-1
8.611612806E1,-3.620452881E-1,-5.246582031E-1,-5.620880127E-1
8.616612806E1,-6.272888184E-2,5.199279785E-1,3.926849365E-1
8.621612806E1,-2.575836182E-1,-6.588745117E-2,4.205322266E-2
8.626612806E1,2.732543945E-1,1.338500977E-1,-1.353454590E-2
8.631612806E1,1.057434082E-2,2.047119141E-1,-3.369140625E-2
8.636612806E1,4.320678711E-1,-4.513549805E-1,7.197570801E-2
8.641612806E1,1.468048096E-1,3.604888916E-1,1.355133057E-1
8.646612806E1,2.152099609E-1,1.008605957E-1,5.364990234E-2
8.651612806E1,4.565124512E-1,8.540649414E-1,7.563781738E-2
8.656612806E1,-4.567413330E-1,-1.434783936E-1,-7.095336914E-2
8.661612806E1,3.251647949E-1,-2.570953369E-1,4.386901855E-2
8.666612806E1,-4.616241455E-1,1.290893555E-2,2.692871094E-1
8.671612806E1,-1.842956543E-1,1.161346436E-1,2.460784912E-1
8.676612806E1,-1.641235352E-1,-1.159820557E-1,1.226806641E-1
8.681612806E1,2.390441895E-1,-1.312561035E-1,2.863922119E-1
8.686612806E1,1.590118408E-1,-7.383728027E-2,5.792236328E-2
8.691612806E1,1.895599365E-1,-1.037750244E-1,1.272583008E-2
8.696612806E1,3.439331055E-2,1.191864014E-1,-1.100616455E-1
8.701612806E1,2.097167969E-1,3.953094482E-1,3.532409668E-2
8.706612806E1,-4.457397461E-1,-2.937469482E-1,-4.918518066E-1
8.711612806E1,5.577087402E-2,-5.416870117E-3,-3.104095459E-1
8.716612806E1,-4.347381592E-1,4.783782959E-1,-9.721374512E-2
8.721612806E1,-1.006011963E-1,7.582092285E-2,-1.057739258E-1
8.726612806E1,-3.279113770E-2,1.027069092E-1,3.715515137E-2
8.731612806E1,1.284790039E-1,-2.497711182E-1,2.314147949E-1
8.736612806E1,2.671356201E-1,-6.466674805E-2,1.556701660E-1
8.741612806E1,1.461791992E-1,1.931152344E-1,1.245117188E-1
8.746612806E1,2.591857910E-1,8.314514160E-2,1.213073730E-2
8.751612806E1,-1.570129395E-2,1.165603638E0,1.147460938E-1
8.756612806E1,-9.204101562E-2,-1.051223755E0,-2.401733398E-1
8.761612806E1,-2.184906006E-1,9.902954102E-2,2.240905762E-1
8.766612806E1,-3.021850586E-1,7.093811035E-2,1.703186035E-1
8.771612806E1,-2.868652344E-3,2.755737305E-2,1.568908691E-1
8.776612806E1,1.358032227E-1,-2.772521973E-1,1.361083984E-1
8.781612806E1,1.614532471E-1,-2.760314941E-1,5.120849609E-2
8.786612806E1,-3.828430176E-2,-6.527709961E-2,-5.018615723E-2
8.791612806E1,9.608459473E-2,-1.440887451E-1,-1.699218750E-1
8.796612806E1,-2.099456787E-1,3.708648682E-1,-2.218475342E-1
8.801612806E1,1.822204590E-1,4.667816162E-1,8.236694336E-2
8.806612806E1,-2.673645020E-1,-4.360809326E-1,-5.126190186E-1
8.811612806E1,2.799682617E-1,1.252899170E-1,2.466888428E-1
8.816612806E1,-2.667541504E-1,2.890167236E-1,1.153411865E-1
8.821612806E1,2.645874023E-2,1.705017090E-1,-8.561706543E-2
8.826612806E1,3.805541992E-2,3.384857178E-1,1.300048828E-1
8.831612806E1,6.494140625E-2,-2.320404053E-1,2.399749756E-1
8.836612806E1,2.982940674E-1,-2.717590332E-1,1.825408936E-1
8.841612806E1,6.860351562E-2,1.173553467E-1,4.205322266E-2
8.846612806E1,2.262115479E-1,6.170501709E-1,1.648406982E-1
8.851612806E1,-7.517852783E-1,-2.882537842E-1,-2.575683594E-2
8.856612806E1,4.479522705E-1,-2.137298584E-1,-5.323791504E-2
8.861612806E1,-5.361480713E-1,7.538909912E-1,1.129150391E-3
8.866612806E1,-4.684448242E-2,-1.654663086E-1,2.491302490E-1
8.871612806E1,-3.767395020E-2,1.448364258E-1,2.405700684E-1
8.876612806E1,1.681823730E-1,1.907348633E-3,2.485198975E-1
8.881612806E1,1.761169434E-1,-3.444519043E-1,1.886596680E-1
8.886612806E1,7.594299316E-2,-3.420104980E-1,-2.053527832E-1
8.891612806E1,8.743286133E-3,-4.947204590E-1,-1.748046875E-1
8.896612806E1,-5.477905273E-2,2.578582764E-1,-1.051635742E-1
8.901612806E1,-7.194061279E-1,-4.904479980E-1,-5.847015381E-1
8.906612806E1,1.822204590E-1,3.891906738E-1,2.973937988E-1
8.911612806E1,-3.064575195E-1,4.289093018E-1,2.821197510E-1
8.916612806E1,9.426879883E-2,-1.379852295E-1,-1.638183594E-1
8.921612806E1,4.051208496E-2,-1.874542236E-1,-5.567932129E-2
